f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Car on Hoodoo Airstrip in Hoodoo Meadows,,1952,,Car on Hoodoo Airstrip in Hoodoo Meadows,national forests; air fields; air strips; landing fields; landing strips; cars; vehicles,"Salmon-Challis National Forest, Idaho",,,45.055234,-114.56029,,,,Sal13Chal102,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,846,archivalidaho846,image,archivalidaho846.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho846.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho846_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho846_th.jpg,
Riders on Big Creek Trail in Idaho Primitive Area,"Adams, A.J.",1966,,"Photo text: 'Copy of image used in 1967 Forest Progress Report. Aug, 12, 1966.'",rivers; roads; canyons; trails; horses; pack trains; people; road work; national forests,"Payette National Forest, Idaho",,,45.152886,-115.30375,,,United States Forest Service,Payette97,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,847,archivalidaho847,image,archivalidaho847.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho847.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho847_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho847_th.jpg,
Polly Bemis' Ranch on Salmon River,,1930,yes,Polly Bemis' Ranch on Salmon River,national forests; ranches; buildings; rivers,"Salmon-Challis National Forest, Idaho",,,45.433287,-115.668582,,,,Sal13Chal119b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,848,archivalidaho848,image,archivalidaho848.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho848.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho848_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho848_th.jpg,
Lick Creek Canyon,"Benedict, R.E.",1904,,"This is image is part of a report on the proposed Payette Forest Reserve by R.E. Benedict, 1904.",national forests; mountains; surveys; rivers; forests; burns; fires,"Payette National Forest, Idaho",,,45.06929,-115.80767,R-4 History Files Idaho NF Boundans Box 87,42?36,United States Forest Service,OGDEN145,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,849,archivalidaho849,image,archivalidaho849.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho849.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho849_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho849_th.jpg,
"Buffalo Hump Syndicate's saw mill, Lake Creek",,1905,,The Buffalo Hump Syndicate's saw mill near Lake Creek.,mountains; forests; logging; industry; natural resources; saw mills; lumber; national forests,"Nez Perce National Forest, Idaho",Buffalo Hump,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC260,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,850,archivalidaho850,image,archivalidaho850.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho850.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho850_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho850_th.jpg,
"Dusting for Mormon Crickets, line of men across field",,1927,yes,Men discuss Mormon Cricket control and insecticides. Note: This image is part of a Work Progress Administration publicity series.,Works Progress Administration; WPA; people; insecticide; pesticide; agriculture; fields; crickets; spraying; dusting,"Ada County, Idaho",,,43.45112,-116.24109,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC147a,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,851,archivalidaho851,image,archivalidaho851.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho851.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho851_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho851_th.jpg,
"Red Fir forest below Ketchum, cabin","Tower, G. E.",1904,,"This is image is part of a report on lands proposed for addition to Sawtooth Forest Reserve by Gordon E. Tower, 1905.",national forests; pines; tree species; surveys; cabins; buildings; mountains,"Sawtooth National Forest, Idaho",,,43.659958,-114.351969,R-4 History Files Idaho NF Boundans Box 87,56053,United States Forest Service,OGDEN91,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,852,archivalidaho852,image,archivalidaho852.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho852.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho852_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho852_th.jpg,
Ritual dance site,F.C.B.,1921,,Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; reservations; native americans; indians; tribes; cultural sites,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 105,,,NARA16DC213,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,853,archivalidaho853,image,archivalidaho853.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho853.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho853_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho853_th.jpg,
"Conley Seth House (front), repair work nearly complete",,1937,yes,Photo caption: 'Same house [Conley Seth] one month later. Work about complete. All Indian labor.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; house; repair; buildings; construction,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 51,,,NARA16DC098b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,854,archivalidaho854,image,archivalidaho854.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho854.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho854_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho854_th.jpg,
Burro train loaded with supplies for Thunder Mountain starting from Boise,"Benedict, R.E.",1904,,"This is image is part of a report on the proposed Payette Forest Reserve by R.E. Benedict, 1904.",national forests; mountains; surveys; pack trains; pack strings; horses; burros; donkeys; riders; people,"Boise, Idaho",,,43.637075,-116.179651,R-4 History Files Idaho NF Boundans Box 87,32507,United States Forest Service,OGDEN137,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,855,archivalidaho855,image,archivalidaho855.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho855.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho855_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho855_th.jpg,
Hagerman Fish Hatchery,,1937,yes,"Hagerman Fish Hatchery in Gooding County, Idaho. Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; fish; hatchery; salmon,"Hagerman, Idaho",,,42.762946,-114.86349,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC174,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,856,archivalidaho856,image,archivalidaho856.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho856.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho856_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho856_th.jpg,
"Cave near Cave Creek, Big Creek","Benedict, M.S.",1937,,A view of a Cave near Cave Creek and Big Creek in the Salmon-Challis National Forest.,national forests; caves; creeks,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.134562,-114.95419,,363487,United States Forest Service,IntermtnPics37,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,857,archivalidaho857,image,archivalidaho857.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho857.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho857_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho857_th.jpg,
Middle Fork of Salmon River 1,,1968,,Middle Fork of Salmon River 1,national forests; rivers,"Salmon-Challis National Forest, Idaho",,,44.719796,-115.014607,,,,Sal13Chal175,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,858,archivalidaho858,image,archivalidaho858.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho858.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho858_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho858_th.jpg,
Salmon fishers with catch near Lola Creek,"Bieler, P.S.",1939,,Photo text: 'July 1939.',national forests; fishers; fishing; salmon; fish; wildlife; cabins; people,"Salmon-Challis National Forest, Idaho",Marsh Creek,,44.406406,-115.171752,,,,Sal13Chal167,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,859,archivalidaho859,image,archivalidaho859.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho859.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho859_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho859_th.jpg,
Pictographs near Veil Falls,"Prater, L.J.",1964,,Pictographs near Veil Falls,watershed management; tribes; pictographs; campgrounds; people; rivers; national forests,"payette national forest, idaho; salmon-challis national forest, idaho",,,44.628471,-115.195328,,510225,United States Forest Service,Payette29,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,860,archivalidaho860,image,archivalidaho860.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho860.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho860_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho860_th.jpg,
A view of northern Chamberlin Basin form Root Knob Lookout,,1938,,A view of the northern Chamberlin Basin form Root Knob Lookout in the Salmon-Challis National Forest.,national forests; mountains; points; peaks; landscapes; lookouts; fire lookouts,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.028076,-114.601109,,355946,United States Forest Service,IntermtnPics33,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,861,archivalidaho861,image,archivalidaho861.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho861.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho861_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho861_th.jpg,
Line for the garden celebration picnic,,1937,yes,Line for the garden celebration picnic. This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; gathering; food; picnic; celebration,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 47,,,NARA16DC096b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,862,archivalidaho862,image,archivalidaho862.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho862.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho862_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho862_th.jpg,
Man uses fire finder at Center Mountain Lookout and man poses with dog,,1922,,"Photo text: 'Lookout shelter and Fred Gardner, lookout, on Center Mountain. Fire finder in distance. (Also view of Center Mountain.'",fire lookouts; lookouts; towers; ranger stations; peaks;  points; log; cabins; people; buildings; national forests,"Payette National Forest, Idaho",,,45.099545,-115.23019,,,United States Forest Service,Payette80,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,863,archivalidaho863,image,archivalidaho863.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho863.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho863_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho863_th.jpg,
"Sheep grazing lands at head of Salmon River, portion of background in reserve","Tower, G. E.",1904,,"This is image is part of a report on lands proposed for addition to Sawtooth Forest Reserve by Gordon E. Tower, 1905.",national forests; mountains; surveys; grazing; lands; sheep; livestock,"Sawtooth National Forest, Idaho",,,43.843345,-114.755809,R-4 History Files Idaho NF Boundans Box 87,58678,United States Forest Service,OGDEN96,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,864,archivalidaho864,image,archivalidaho864.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho864.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho864_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho864_th.jpg,
Man poses with burned giant trees,"Morris, W.W.",1910,yes,Photo text: 'Forest giants were tipped over like ten pins.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; people; portraits; burns; big burn,"Coeur d'Alene National Forest, Idaho",,,47.762646,-116.38998,,,United States Forest Service,pic_2014-09-30_004936,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,865,archivalidaho865,image,archivalidaho865.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho865.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho865_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho865_th.jpg,
Garden and owner,,1937,yes,Photo caption: 'Grover Menthorn has a good garden and orchard.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; garden,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 7,,,NARA16DC071a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,866,archivalidaho866,image,archivalidaho866.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho866.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho866_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho866_th.jpg,
CCC workers clear brush,"Johnston, S.L.",1938,,"Photo text: 'Enrollees clearing and piling brush off right of way along upper levels of truck trail' Note: This image is part of a pictorial supplement to a report on the North Idaho Agency and the Civilian Conservation Corps - Indian Division by Sidney L. Johnston, Assoc. Forest Engineer.",CCC; Civilian Conservation Corps; Indian; division; roads; trails,"Nez Perce Reservation, Idaho",,,46.504129,-116.551411,NARA DC; RG 75; E 1000 CCC - Indian Division; North Idaho Agency; Box 151,,,NARA16DC245b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,867,archivalidaho867,image,archivalidaho867.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho867.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho867_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho867_th.jpg,
"Forest Service patrol boat at Devil's tooth Rapids, Salmon River","Prater, L.J.",1964,,Photo text: 'July 1964.',national forests; forest service; patrol; boats; rapids,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,,45.272948,-114.625616,,,,Sal13Chal116,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,868,archivalidaho868,image,archivalidaho868.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho868.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho868_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho868_th.jpg,
Car parked on bridge over Middle Fork of Salmon River,,1930,yes,Sign to left of image reads: 'Middle Fork of Salmon River -- Yonder lies the Idaho Wilderness',national forests; rivers; bridges; cars; vehicles; signs,"Salmon-Challis National Forest, Idaho",,,45.296481,-114.604211,,,,Sal13Chal114,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,869,archivalidaho869,image,archivalidaho869.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho869.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho869_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho869_th.jpg,
"CCC yards and headquarters camp (Photo 1), July 1937","Balderson, V.W.",1937,,"Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; structures; exteriors; headquarters; national forests,"Fort Hall Reservation, Idaho",,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC50,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,870,archivalidaho870,image,archivalidaho870.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho870.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho870_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho870_th.jpg,
"Moose Creek Ranger Station, Bitterroot National Forest","Flint, H.R.",1922,,"The Moose Creek Ranger Station, Bitterroot National Forest. Photograph taken 07-29-1922 by H. R. Flint",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Bitterroot National Forest, Idaho; Selway-Bitterroot Wilderness, Montana",,,46.127102,-114.917013,,,United States Forest Service,moosecrk1922,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,871,archivalidaho871,image,archivalidaho871.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho871.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho871_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho871_th.jpg,
Loaded timber truck on pole construction road,"Anderson, I.V.",1935,,Photo text: '1 1/2 Ton Dodge truck loaded with white pine logs...operation of White Pine Timber Co. near Grangemont. Note pole road construction.',Logging; timber; truck; road construction; industry; White Pine Timber Company; National Forest; natural resources,"Grangemont, Idaho",,,46.5171291,-116.0312498,,305664,United States Forest Service,NARA10GP6,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,872,archivalidaho872,image,archivalidaho872.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho872.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho872_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho872_th.jpg,
A ridge near the Middle Fork of the Salmon River in the Payette National Forest.,"Benedict, M.S.",1937,,A ridge near Middle Fork of the Salmon River,national forests; rivers; ridges; landscapes,"Salmon-Challis National Forest, Idaho",,,45.297537,-114.593568,,363439,United States Forest Service,IntermtnPics84,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,873,archivalidaho873,image,archivalidaho873.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho873.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho873_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho873_th.jpg,
"Boise-Payette Lumber Company, U.S. Canal and diversion dam","Stevens, A.W. Capt.",1925,,This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; rivers; industry; natural resources; lumber; timber; buildings; mills,"Barber, Boise, Idaho",,,43.562065,-116.117858,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army13,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,874,archivalidaho874,image,archivalidaho874.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho874.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho874_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho874_th.jpg,
Aerial view of Cathedral Lake and Big Horn Crags,"Prater, L.J.",1965,,Photo text: 'Feb. 1965.',national forests; aerials; crags; mountains; peaks; points; lakes,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness; Crags; Big Horn Crags; Crag country; Crags Recreation Area; lakes,45.130692,-114.53714,,510177,United States Forest Service,IntermtnPics137,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,875,archivalidaho875,image,archivalidaho875.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho875.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho875_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho875_th.jpg,
Unloading supply plane at Chamberlain Ranger Station,,1937,,Unloading supply plane at Chamberlain Ranger Station,planes; airports; air strips; landing strips; landing fields; people; national forests,"Payette National Forest, Idaho",,,45.373378,-115.200826,,,United States Forest Service,Payette47,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,876,archivalidaho876,image,archivalidaho876.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho876.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho876_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho876_th.jpg,
"WPA sewing room, Nampa",,1940,yes,"Photo text: 'Idaho, Nampa, Canyon County, A group of women at work in a corner of a WPA sewing room in Nampa, Idaho.' Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; people; women; sewing,"Nampa, Idaho",,,43.582738,-116.567049,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC173,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,877,archivalidaho877,image,archivalidaho877.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho877.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho877_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho877_th.jpg,
